task,model,actual_index,predicted_index,count
primary_disease_class,dummy,0,0,34
primary_disease_class,dummy,0,1,0
primary_disease_class,dummy,0,2,0
primary_disease_class,dummy,0,3,0
primary_disease_class,dummy,0,4,0
primary_disease_class,dummy,0,5,0
primary_disease_class,dummy,0,6,0
primary_disease_class,dummy,0,7,0
primary_disease_class,dummy,0,8,0
primary_disease_class,dummy,0,9,0
primary_disease_class,dummy,0,10,0
primary_disease_class,dummy,1,0,5
primary_disease_class,dummy,1,1,0
primary_disease_class,dummy,1,2,0
primary_disease_class,dummy,1,3,0
primary_disease_class,dummy,1,4,0
primary_disease_class,dummy,1,5,0
primary_disease_class,dummy,1,6,0
primary_disease_class,dummy,1,7,0
primary_disease_class,dummy,1,8,0
primary_disease_class,dummy,1,9,0
primary_disease_class,dummy,1,10,0
primary_disease_class,dummy,2,0,20
primary_disease_class,dummy,2,1,0
primary_disease_class,dummy,2,2,0
primary_disease_class,dummy,2,3,0
primary_disease_class,dummy,2,4,0
primary_disease_class,dummy,2,5,0
primary_disease_class,dummy,2,6,0
primary_disease_class,dummy,2,7,0
primary_disease_class,dummy,2,8,0
primary_disease_class,dummy,2,9,0
primary_disease_class,dummy,2,10,0
primary_disease_class,dummy,3,0,8
primary_disease_class,dummy,3,1,0
primary_disease_class,dummy,3,2,0
primary_disease_class,dummy,3,3,0
primary_disease_class,dummy,3,4,0
primary_disease_class,dummy,3,5,0
primary_disease_class,dummy,3,6,0
primary_disease_class,dummy,3,7,0
primary_disease_class,dummy,3,8,0
primary_disease_class,dummy,3,9,0
primary_disease_class,dummy,3,10,0
primary_disease_class,dummy,4,0,19
primary_disease_class,dummy,4,1,0
primary_disease_class,dummy,4,2,0
primary_disease_class,dummy,4,3,0
primary_disease_class,dummy,4,4,0
primary_disease_class,dummy,4,5,0
primary_disease_class,dummy,4,6,0
primary_disease_class,dummy,4,7,0
primary_disease_class,dummy,4,8,0
primary_disease_class,dummy,4,9,0
primary_disease_class,dummy,4,10,0
primary_disease_class,dummy,5,0,7
primary_disease_class,dummy,5,1,0
primary_disease_class,dummy,5,2,0
primary_disease_class,dummy,5,3,0
primary_disease_class,dummy,5,4,0
primary_disease_class,dummy,5,5,0
primary_disease_class,dummy,5,6,0
primary_disease_class,dummy,5,7,0
primary_disease_class,dummy,5,8,0
primary_disease_class,dummy,5,9,0
primary_disease_class,dummy,5,10,0
primary_disease_class,dummy,6,0,8
primary_disease_class,dummy,6,1,0
primary_disease_class,dummy,6,2,0
primary_disease_class,dummy,6,3,0
primary_disease_class,dummy,6,4,0
primary_disease_class,dummy,6,5,0
primary_disease_class,dummy,6,6,0
primary_disease_class,dummy,6,7,0
primary_disease_class,dummy,6,8,0
primary_disease_class,dummy,6,9,0
primary_disease_class,dummy,6,10,0
primary_disease_class,dummy,7,0,10
primary_disease_class,dummy,7,1,0
primary_disease_class,dummy,7,2,0
primary_disease_class,dummy,7,3,0
primary_disease_class,dummy,7,4,0
primary_disease_class,dummy,7,5,0
primary_disease_class,dummy,7,6,0
primary_disease_class,dummy,7,7,0
primary_disease_class,dummy,7,8,0
primary_disease_class,dummy,7,9,0
primary_disease_class,dummy,7,10,0
primary_disease_class,dummy,8,0,5
primary_disease_class,dummy,8,1,0
primary_disease_class,dummy,8,2,0
primary_disease_class,dummy,8,3,0
primary_disease_class,dummy,8,4,0
primary_disease_class,dummy,8,5,0
primary_disease_class,dummy,8,6,0
primary_disease_class,dummy,8,7,0
primary_disease_class,dummy,8,8,0
primary_disease_class,dummy,8,9,0
primary_disease_class,dummy,8,10,0
primary_disease_class,dummy,9,0,27
primary_disease_class,dummy,9,1,0
primary_disease_class,dummy,9,2,0
primary_disease_class,dummy,9,3,0
primary_disease_class,dummy,9,4,0
primary_disease_class,dummy,9,5,0
primary_disease_class,dummy,9,6,0
primary_disease_class,dummy,9,7,0
primary_disease_class,dummy,9,8,0
primary_disease_class,dummy,9,9,0
primary_disease_class,dummy,9,10,0
primary_disease_class,dummy,10,0,7
primary_disease_class,dummy,10,1,0
primary_disease_class,dummy,10,2,0
primary_disease_class,dummy,10,3,0
primary_disease_class,dummy,10,4,0
primary_disease_class,dummy,10,5,0
primary_disease_class,dummy,10,6,0
primary_disease_class,dummy,10,7,0
primary_disease_class,dummy,10,8,0
primary_disease_class,dummy,10,9,0
primary_disease_class,dummy,10,10,0
primary_disease_class,logistic_regression,0,0,13
primary_disease_class,logistic_regression,0,1,7
primary_disease_class,logistic_regression,0,2,0
primary_disease_class,logistic_regression,0,3,0
primary_disease_class,logistic_regression,0,4,1
primary_disease_class,logistic_regression,0,5,2
primary_disease_class,logistic_regression,0,6,3
primary_disease_class,logistic_regression,0,7,0
primary_disease_class,logistic_regression,0,8,4
primary_disease_class,logistic_regression,0,9,0
primary_disease_class,logistic_regression,0,10,4
primary_disease_class,logistic_regression,1,0,0
primary_disease_class,logistic_regression,1,1,0
primary_disease_class,logistic_regression,1,2,1
primary_disease_class,logistic_regression,1,3,0
primary_disease_class,logistic_regression,1,4,1
primary_disease_class,logistic_regression,1,5,0
primary_disease_class,logistic_regression,1,6,0
primary_disease_class,logistic_regression,1,7,0
primary_disease_class,logistic_regression,1,8,0
primary_disease_class,logistic_regression,1,9,3
primary_disease_class,logistic_regression,1,10,0
primary_disease_class,logistic_regression,2,0,0
primary_disease_class,logistic_regression,2,1,1
primary_disease_class,logistic_regression,2,2,4
primary_disease_class,logistic_regression,2,3,1
primary_disease_class,logistic_regression,2,4,4
primary_disease_class,logistic_regression,2,5,0
primary_disease_class,logistic_regression,2,6,4
primary_disease_class,logistic_regression,2,7,1
primary_disease_class,logistic_regression,2,8,1
primary_disease_class,logistic_regression,2,9,1
primary_disease_class,logistic_regression,2,10,3
primary_disease_class,logistic_regression,3,0,0
primary_disease_class,logistic_regression,3,1,0
primary_disease_class,logistic_regression,3,2,2
primary_disease_class,logistic_regression,3,3,3
primary_disease_class,logistic_regression,3,4,1
primary_disease_class,logistic_regression,3,5,1
primary_disease_class,logistic_regression,3,6,0
primary_disease_class,logistic_regression,3,7,0
primary_disease_class,logistic_regression,3,8,0
primary_disease_class,logistic_regression,3,9,0
primary_disease_class,logistic_regression,3,10,1
primary_disease_class,logistic_regression,4,0,0
primary_disease_class,logistic_regression,4,1,1
primary_disease_class,logistic_regression,4,2,1
primary_disease_class,logistic_regression,4,3,1
primary_disease_class,logistic_regression,4,4,1
primary_disease_class,logistic_regression,4,5,6
primary_disease_class,logistic_regression,4,6,0
primary_disease_class,logistic_regression,4,7,1
primary_disease_class,logistic_regression,4,8,3
primary_disease_class,logistic_regression,4,9,4
primary_disease_class,logistic_regression,4,10,1
primary_disease_class,logistic_regression,5,0,1
primary_disease_class,logistic_regression,5,1,1
primary_disease_class,logistic_regression,5,2,0
primary_disease_class,logistic_regression,5,3,0
primary_disease_class,logistic_regression,5,4,2
primary_disease_class,logistic_regression,5,5,1
primary_disease_class,logistic_regression,5,6,1
primary_disease_class,logistic_regression,5,7,0
primary_disease_class,logistic_regression,5,8,0
primary_disease_class,logistic_regression,5,9,0
primary_disease_class,logistic_regression,5,10,1
primary_disease_class,logistic_regression,6,0,0
primary_disease_class,logistic_regression,6,1,1
primary_disease_class,logistic_regression,6,2,2
primary_disease_class,logistic_regression,6,3,0
primary_disease_class,logistic_regression,6,4,0
primary_disease_class,logistic_regression,6,5,3
primary_disease_class,logistic_regression,6,6,1
primary_disease_class,logistic_regression,6,7,0
primary_disease_class,logistic_regression,6,8,0
primary_disease_class,logistic_regression,6,9,1
primary_disease_class,logistic_regression,6,10,0
primary_disease_class,logistic_regression,7,0,1
primary_disease_class,logistic_regression,7,1,0
primary_disease_class,logistic_regression,7,2,0
primary_disease_class,logistic_regression,7,3,1
primary_disease_class,logistic_regression,7,4,0
primary_disease_class,logistic_regression,7,5,0
primary_disease_class,logistic_regression,7,6,1
primary_disease_class,logistic_regression,7,7,6
primary_disease_class,logistic_regression,7,8,0
primary_disease_class,logistic_regression,7,9,0
primary_disease_class,logistic_regression,7,10,1
primary_disease_class,logistic_regression,8,0,0
primary_disease_class,logistic_regression,8,1,0
primary_disease_class,logistic_regression,8,2,0
primary_disease_class,logistic_regression,8,3,0
primary_disease_class,logistic_regression,8,4,0
primary_disease_class,logistic_regression,8,5,1
primary_disease_class,logistic_regression,8,6,1
primary_disease_class,logistic_regression,8,7,0
primary_disease_class,logistic_regression,8,8,1
primary_disease_class,logistic_regression,8,9,0
primary_disease_class,logistic_regression,8,10,2
primary_disease_class,logistic_regression,9,0,1
primary_disease_class,logistic_regression,9,1,2
primary_disease_class,logistic_regression,9,2,1
primary_disease_class,logistic_regression,9,3,1
primary_disease_class,logistic_regression,9,4,1
primary_disease_class,logistic_regression,9,5,0
primary_disease_class,logistic_regression,9,6,3
primary_disease_class,logistic_regression,9,7,2
primary_disease_class,logistic_regression,9,8,4
primary_disease_class,logistic_regression,9,9,10
primary_disease_class,logistic_regression,9,10,2
primary_disease_class,logistic_regression,10,0,2
primary_disease_class,logistic_regression,10,1,0
primary_disease_class,logistic_regression,10,2,2
primary_disease_class,logistic_regression,10,3,0
primary_disease_class,logistic_regression,10,4,0
primary_disease_class,logistic_regression,10,5,1
primary_disease_class,logistic_regression,10,6,0
primary_disease_class,logistic_regression,10,7,1
primary_disease_class,logistic_regression,10,8,1
