variable_name,description,data_type,allowed_values_or_units,source_table,source_column,observation_window,synthetic_generation_method,used_for_disease_classification,used_for_mortality_prediction,used_for_length_of_stay_prediction,is_target,potential_leakage_risk
synthetic_patient_id,Synthetic Patient Id,object,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
age,Age,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
age_group,Age Group,object,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
sex,Sex,object,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
race_group,Race Group,object,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
marital_status,Marital Status,object,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
insurance_group,Insurance Group,object,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
admission_type,Admission Type,object,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
admission_location,Admission Location,object,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
emergency_admission,Emergency Admission,int32,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
weekday_admission,Weekday Admission,int32,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
hour_group,Hour Group,object,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
icu_admission,Icu Admission,int32,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,False,False,False,low
primary_disease_class,Primary Disease Class,object,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,False,False,False,True,target
comorbidity_count,Comorbidity Count,int64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
has_diabetes,Has Diabetes,int64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
has_hypertension,Has Hypertension,int64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
has_ckd,Has Ckd,int64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
has_heart_failure,Has Heart Failure,int64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
has_copd,Has Copd,int64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
has_liver_disease,Has Liver Disease,int64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
has_cancer,Has Cancer,int64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
has_sepsis,Has Sepsis,int64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
has_anemia,Has Anemia,int64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
albumin,Albumin,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
alt,Alt,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
ast,Ast,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
bicarbonate,Bicarbonate,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
blood_urea_nitrogen,Blood Urea Nitrogen,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
chloride,Chloride,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
creatinine,Creatinine,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
glucose,Glucose,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
hemoglobin,Hemoglobin,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
inr,Inr,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
lactate,Lactate,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
platelet_count,Platelet Count,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
potassium,Potassium,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
sodium,Sodium,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
white_blood_cell_count,White Blood Cell Count,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,True,True,True,False,low
in_hospital_mortality,In Hospital Mortality,int32,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,False,False,False,True,target
length_of_stay_days,Length Of Stay Days,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,False,False,False,True,target
log1p_length_of_stay,Log1P Length Of Stay,float64,See configuration / observed categories,synthetic; derived from hosp/icu,derived,admission or first 24 hours,conditional bootstrap with perturbation,False,False,False,False,low
