variable_name,source_table,observation_window,used_for_disease_classification,used_for_mortality_prediction,used_for_length_of_stay_prediction,potential_leakage_risk
synthetic_patient_id,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
age,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
age_group,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
sex,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
race_group,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
marital_status,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
insurance_group,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
admission_type,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
admission_location,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
emergency_admission,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
weekday_admission,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
hour_group,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
icu_admission,synthetic; derived from hosp/icu,admission or first 24 hours,True,False,False,low
primary_disease_class,synthetic; derived from hosp/icu,admission or first 24 hours,False,False,False,target
comorbidity_count,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
has_diabetes,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
has_hypertension,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
has_ckd,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
has_heart_failure,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
has_copd,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
has_liver_disease,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
has_cancer,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
has_sepsis,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
has_anemia,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
albumin,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
alt,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
ast,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
bicarbonate,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
blood_urea_nitrogen,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
chloride,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
creatinine,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
glucose,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
hemoglobin,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
inr,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
lactate,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
platelet_count,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
potassium,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
sodium,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
white_blood_cell_count,synthetic; derived from hosp/icu,admission or first 24 hours,True,True,True,low
in_hospital_mortality,synthetic; derived from hosp/icu,admission or first 24 hours,False,False,False,target
length_of_stay_days,synthetic; derived from hosp/icu,admission or first 24 hours,False,False,False,target
log1p_length_of_stay,synthetic; derived from hosp/icu,admission or first 24 hours,False,False,False,low
