variable,group,mean,median,std,missing_rate,level,proportion
age,source,55.725150654568125,57.0,20.19436548262314,0.0,,
age,synthetic,60.041,62.0,19.367044209207595,0.0,,
age_group,source,,,,0.0,60-79,0.3177529957747455
age_group,source,,,,0.0,40-59,0.28663849830297156
age_group,source,,,,0.0,18-39,0.2545681235713791
age_group,source,,,,0.0,80+,0.14104038235090394
age_group,synthetic,,,,0.0,60-79,0.373
age_group,synthetic,,,,0.0,40-59,0.274
age_group,synthetic,,,,0.0,18-39,0.185
age_group,synthetic,,,,0.0,80+,0.168
sex,source,,,,0.0,Female,0.5298954076331648
sex,source,,,,0.0,Male,0.4701045923668352
sex,synthetic,,,,0.0,Male,0.511
sex,synthetic,,,,0.0,Female,0.489
race_group,source,,,,0.0,White,0.6644247419824063
race_group,source,,,,0.0,Black,0.12788668005818382
race_group,source,,,,0.0,Other_Or_Unknown,0.11208007203712683
race_group,source,,,,0.0,Hispanic,0.05456812357137909
race_group,source,,,,0.0,Asian,0.041040382350903924
race_group,synthetic,,,,0.0,White,0.667
race_group,synthetic,,,,0.0,Black,0.119
race_group,synthetic,,,,0.0,Other_Or_Unknown,0.118
race_group,synthetic,,,,0.0,Hispanic,0.054
race_group,synthetic,,,,0.0,Asian,0.042
marital_status,source,,,,0.0,Married,0.43263143312322505
marital_status,source,,,,0.0,Single,0.37389346817205793
marital_status,source,,,,0.0,Widowed,0.08796148784373485
marital_status,source,,,,0.0,Divorced,0.06215280182863476
marital_status,source,,,,0.0,Unknown,0.04336080903234744
marital_status,synthetic,,,,0.0,Married,0.455
marital_status,synthetic,,,,0.0,Single,0.329
marital_status,synthetic,,,,0.0,Widowed,0.101
marital_status,synthetic,,,,0.0,Divorced,0.07
marital_status,synthetic,,,,0.0,Unknown,0.045
insurance_group,source,,,,0.0,Other,0.6182240077578445
insurance_group,source,,,,0.0,Medicare,0.2938906975133338
insurance_group,source,,,,0.0,Medicaid,0.08788529472882178
insurance_group,synthetic,,,,0.0,Other,0.599
insurance_group,synthetic,,,,0.0,Medicare,0.34
insurance_group,synthetic,,,,0.0,Medicaid,0.061
admission_type,source,,,,0.0,Ew_Emer.,0.3484518944379026
admission_type,source,,,,0.0,Eu_Observation,0.2421832790746
admission_type,source,,,,0.0,Urgent,0.12891182378610513
admission_type,source,,,,0.0,Observation_Admit,0.0954491930456466
admission_type,source,,,,0.0,Surgical_Same_Day_Admission,0.09328115259402923
admission_type,source,,,,0.0,Direct_Observation,0.03624714275819076
admission_type,source,,,,0.0,Direct_Emer.,0.022151416499272703
admission_type,source,,,,0.0,Elective,0.019124471843180717
admission_type,source,,,,0.0,Ambulatory_Observation,0.014199625961072245
admission_type,synthetic,,,,0.0,Ew_Emer.,0.458
admission_type,synthetic,,,,0.0,Eu_Observation,0.15
admission_type,synthetic,,,,0.0,Observation_Admit,0.112
admission_type,synthetic,,,,0.0,Urgent,0.107
admission_type,synthetic,,,,0.0,Surgical_Same_Day_Admission,0.095
admission_type,synthetic,,,,0.0,Direct_Observation,0.033
admission_type,synthetic,,,,0.0,Direct_Emer.,0.019
admission_type,synthetic,,,,0.0,Elective,0.015
admission_type,synthetic,,,,0.0,Ambulatory_Observation,0.011
admission_location,source,,,,0.0,Emergency_Room,0.5611830712751957
admission_location,source,,,,0.0,Physician_Referral,0.24703885848860566
admission_location,source,,,,0.0,Transfer_From_Hospital,0.11690794486389139
admission_location,source,,,,0.0,Walk-In/Self_Referral,0.027055482440950337
admission_location,source,,,,0.0,Procedure_Site,0.018487220336635034
admission_location,source,,,,0.0,Clinic_Referral,0.01197617233497264
admission_location,source,,,,0.0,Pacu,0.011872272632818452
admission_location,source,,,,0.0,Transfer_From_Skilled_Nursing_Facility,0.0035533698136732007
admission_location,source,,,,0.0,Information_Not_Available,0.0011221167832652214
admission_location,source,,,,0.0,Internal_Transfer_To_Or_From_Psych,0.0004225254554270278
admission_location,source,,,,0.0,Ambulatory_Surgery_Transfer,0.0003809655745653529
admission_location,synthetic,,,,0.0,Emergency_Room,0.597
