synthetic_patient_id,split
SYN0001,validation
SYN0002,train
SYN0003,test
SYN0004,test
SYN0005,train
SYN0006,train
SYN0007,test
SYN0008,train
SYN0009,validation
SYN0010,train
SYN0011,validation
SYN0012,train
SYN0013,train
SYN0014,train
SYN0015,train
SYN0016,train
SYN0017,train
SYN0018,validation
SYN0019,train
SYN0020,train
SYN0021,train
SYN0022,train
SYN0023,train
SYN0024,train
SYN0025,test
SYN0026,train
SYN0027,train
SYN0028,train
SYN0029,train
SYN0030,test
SYN0031,train
SYN0032,train
SYN0033,train
SYN0034,train
SYN0035,train
SYN0036,train
SYN0037,train
SYN0038,test
SYN0039,validation
SYN0040,train
SYN0041,train
SYN0042,train
SYN0043,train
SYN0044,train
SYN0045,train
SYN0046,train
SYN0047,validation
SYN0048,validation
SYN0049,train
SYN0050,train
SYN0051,train
SYN0052,train
SYN0053,train
SYN0054,train
SYN0055,test
SYN0056,train
SYN0057,test
SYN0058,test
SYN0059,train
SYN0060,train
SYN0061,train
SYN0062,train
SYN0063,train
SYN0064,train
SYN0065,train
SYN0066,train
SYN0067,train
SYN0068,train
SYN0069,validation
SYN0070,test
SYN0071,test
SYN0072,train
SYN0073,test
SYN0074,train
SYN0075,train
SYN0076,validation
SYN0077,test
SYN0078,train
SYN0079,train
SYN0080,test
SYN0081,test
SYN0082,validation
SYN0083,train
SYN0084,train
SYN0085,train
SYN0086,train
SYN0087,validation
SYN0088,train
SYN0089,train
SYN0090,train
SYN0091,train
SYN0092,test
SYN0093,validation
SYN0094,train
SYN0095,test
SYN0096,test
SYN0097,train
SYN0098,train
SYN0099,train
SYN0100,train
SYN0101,train
SYN0102,train
SYN0103,validation
SYN0104,train
SYN0105,train
SYN0106,test
SYN0107,test
SYN0108,train
SYN0109,train
SYN0110,train
SYN0111,train
SYN0112,train
SYN0113,train
SYN0114,train
SYN0115,train
SYN0116,train
SYN0117,train
SYN0118,train
SYN0119,train
SYN0120,train
SYN0121,train
SYN0122,test
SYN0123,train
SYN0124,train
SYN0125,train
SYN0126,train
SYN0127,train
SYN0128,train
SYN0129,validation
SYN0130,train
SYN0131,train
SYN0132,validation
SYN0133,validation
SYN0134,train
SYN0135,train
SYN0136,test
SYN0137,train
SYN0138,train
SYN0139,train
SYN0140,test
SYN0141,train
SYN0142,validation
SYN0143,train
SYN0144,train
SYN0145,train
SYN0146,test
SYN0147,test
SYN0148,train
SYN0149,train
SYN0150,test
SYN0151,validation
SYN0152,train
SYN0153,test
SYN0154,test
SYN0155,test
SYN0156,train
SYN0157,validation
SYN0158,train
SYN0159,train
SYN0160,train
SYN0161,train
SYN0162,train
SYN0163,train
SYN0164,test
SYN0165,validation
SYN0166,train
SYN0167,train
SYN0168,train
SYN0169,test
SYN0170,train
SYN0171,train
SYN0172,test
SYN0173,train
SYN0174,train
SYN0175,train
SYN0176,train
SYN0177,train
SYN0178,train
SYN0179,train
SYN0180,validation
SYN0181,train
SYN0182,validation
SYN0183,validation
SYN0184,train
SYN0185,train
SYN0186,train
SYN0187,validation
SYN0188,train
SYN0189,train
SYN0190,train
SYN0191,train
SYN0192,train
SYN0193,train
SYN0194,train
SYN0195,train
SYN0196,train
