variable,missing_count,missing_pct
subject_id,0,0.0
hadm_id,0,0.0
stay_id,63,63.0
age,0,0.0
gender,0,0.0
race,0,0.0
insurance,0,0.0
marital_status,0,0.0
admission_type,0,0.0
admission_location,0,0.0
emergency_admission,0,0.0
heart_rate_first,0,0.0
heart_rate_min,0,0.0
heart_rate_max,0,0.0
systolic_bp_first,0,0.0
systolic_bp_min,0,0.0
systolic_bp_max,0,0.0
diastolic_bp_first,0,0.0
diastolic_bp_min,0,0.0
diastolic_bp_max,0,0.0
mean_arterial_pressure_first,0,0.0
respiratory_rate_first,0,0.0
respiratory_rate_min,0,0.0
respiratory_rate_max,0,0.0
spo2_first,0,0.0
spo2_min,0,0.0
spo2_max,0,0.0
temperature_first,0,0.0
temperature_min,0,0.0
temperature_max,0,0.0
heart_failure,0,0.0
hypertension,0,0.0
metastatic_cancer,0,0.0
obesity,0,0.0
alcohol_abuse,0,0.0
depression,0,0.0
paralysis,0,0.0
diabetes,0,0.0
weight_loss,0,0.0
drug_abuse,0,0.0
chronic_kidney_disease,0,0.0
chronic_pulmonary_disease,0,0.0
liver_disease,0,0.0
comorbidity_count,0,0.0
pao2_first,69,69.0
pco2_first,69,69.0
pf_ratio_first,39,39.0
ph_first,22,22.0
bicarbonate_first,48,48.0
creatinine_first,36,36.0
lactate_first,88,88.0
platelet_count_first,41,41.0
sodium_first,46,46.0
bun_first,43,43.0
wbc_first,42,42.0
hemoglobin_first,42,42.0
hematocrit_first,14,14.000000000000002
potassium_first,44,44.0
chloride_first,41,41.0
glucose_first,42,42.0
albumin_first,92,92.0
bilirubin_first,6,6.0
inr_first,64,64.0
gcs_motor_first,0,0.0
gcs_verbal_first,0,0.0
gcs_eyes_first,0,0.0
gcs_total_first,0,0.0
urine_output_24h,0,0.0
current_service,0,0.0
previous_service,0,0.0
surgery_indicator,0,0.0
mechanical_ventilation_indicator,0,0.0
vasopressor_indicator,0,0.0
icu_admission_indicator,0,0.0
procedure_count,0,0.0
service_transfer_count,0,0.0
hospital_los_days,0,0.0
readmitted_30d,0,0.0
