transformed_feature,log_odds_coefficient,direction
n__chronic_kidney_disease,2.2142329869081583,higher readmission odds
n__comorbidity_count,0.943468349303498,higher readmission odds
n__gcs_eyes_first,0.6070261997057403,higher readmission odds
c__previous_service_SURG,-0.49415457643914895,lower readmission odds
n__platelet_count_first,-0.43941714007931537,lower readmission odds
n__alcohol_abuse,0.4072556790174795,higher readmission odds
n__pf_ratio_first,-0.39148854358258073,lower readmission odds
n__gcs_verbal_first,-0.38334061618282095,lower readmission odds
n__urine_output_24h,-0.3582015553773887,lower readmission odds
n__chloride_first,0.3500493227058455,higher readmission odds
n__service_transfer_count,-0.33010835844979625,lower readmission odds
n__mechanical_ventilation_indicator,0.3298414437857941,higher readmission odds
c__previous_service_ED,0.32887002188449277,higher readmission odds
n__chronic_pulmonary_disease,0.32774123935564703,higher readmission odds
c__admission_location_Physician Referral,0.3103381658341835,higher readmission odds
n__hypertension,0.2963925168002859,higher readmission odds
c__insurance_Medicare,0.29150409921645404,higher readmission odds
n__procedure_count,-0.28289929617681703,lower readmission odds
c__gender_F,-0.2787358612605619,lower readmission odds
c__gender_M,0.27835975300891097,higher readmission odds
n__hematocrit_first,-0.27616602434380133,lower readmission odds
c__admission_location_Transfer From Hospital,-0.2668075451241393,lower readmission odds
n__icu_admission_indicator,-0.26671540455406717,lower readmission odds
c__previous_service_MED,0.2593965278738392,higher readmission odds
c__insurance_Other,-0.25794884112624833,lower readmission odds
n__age,-0.24454255632978658,lower readmission odds
n__spo2_min,-0.2389037465452339,lower readmission odds
n__diabetes,-0.2196928270461105,lower readmission odds
n__potassium_first,0.21856932553730624,higher readmission odds
n__bun_first,-0.2062178550104178,lower readmission odds
n__weight_loss,-0.2013795517732923,lower readmission odds
n__inr_first,0.19554848213775128,higher readmission odds
n__paralysis,0.1944021147941333,higher readmission odds
n__metastatic_cancer,-0.17817067523098654,lower readmission odds
n__respiratory_rate_min,-0.17022702715984406,lower readmission odds
n__respiratory_rate_max,0.1650956089016014,higher readmission odds
c__admission_type_Direct Observation,0.1630764972272442,higher readmission odds
n__systolic_bp_min,-0.16018261227297975,lower readmission odds
n__albumin_first,-0.15012412267678554,lower readmission odds
n__surgery_indicator,0.14549854382574534,higher readmission odds
n__systolic_bp_first,-0.14549368182902048,lower readmission odds
n__drug_abuse,0.14409282696567915,higher readmission odds
n__liver_disease,-0.1438398273814192,lower readmission odds
c__admission_location_Emergency Room,-0.1409936481005582,lower readmission odds
n__depression,-0.1323215266404711,lower readmission odds
n__systolic_bp_max,-0.13020213685328055,lower readmission odds
c__current_service_CSURG,0.1211387436301843,higher readmission odds
n__glucose_first,-0.12084179763201675,lower readmission odds
n__vasopressor_indicator,0.11927105737622508,higher readmission odds
