requested_domain,requested_variable,source_table,exact_source_column,itemid_or_code,official_label,unit,included,reason_if_excluded
demographics,age,patients/admissions,"anchor_age, anchor_year, admittime",,Age,,True,
demographics,gender,patients,gender,,Gender,,True,
demographics,race,admissions,race,,Race,,True,
demographics,insurance,admissions,insurance,,Insurance,,True,
demographics,marital_status,admissions,marital_status,,Marital Status,,True,
demographics,admission_type,admissions,admission_type,,Admission Type,,True,
demographics,admission_location,admissions,admission_location,,Admission Location,,True,
demographics,emergency_admission,admissions,admission_type,,Emergency Admission,,True,
vitals,heart_rate_first,chartevents,"valuenum, charttime, itemid",220045,Heart Rate,bpm,True,
vitals,heart_rate_min,chartevents,"valuenum, charttime, itemid",220045,Heart Rate,bpm,True,
vitals,heart_rate_max,chartevents,"valuenum, charttime, itemid",220045,Heart Rate,bpm,True,
vitals,systolic_bp_first,chartevents,"valuenum, charttime, itemid",220179,Non Invasive Blood Pressure systolic,mmHg,True,
vitals,systolic_bp_min,chartevents,"valuenum, charttime, itemid",220179,Non Invasive Blood Pressure systolic,mmHg,True,
vitals,systolic_bp_max,chartevents,"valuenum, charttime, itemid",220179,Non Invasive Blood Pressure systolic,mmHg,True,
vitals,diastolic_bp_first,chartevents,"valuenum, charttime, itemid",220180,Non Invasive Blood Pressure diastolic,mmHg,True,
vitals,diastolic_bp_min,chartevents,"valuenum, charttime, itemid",220180,Non Invasive Blood Pressure diastolic,mmHg,True,
vitals,diastolic_bp_max,chartevents,"valuenum, charttime, itemid",220180,Non Invasive Blood Pressure diastolic,mmHg,True,
vitals,mean_arterial_pressure_first,chartevents,"valuenum, charttime, itemid",220181,Non Invasive Blood Pressure mean,mmHg,True,
vitals,respiratory_rate_first,chartevents,"valuenum, charttime, itemid",220210,Respiratory Rate,insp/min,True,
vitals,respiratory_rate_min,chartevents,"valuenum, charttime, itemid",220210,Respiratory Rate,insp/min,True,
vitals,respiratory_rate_max,chartevents,"valuenum, charttime, itemid",220210,Respiratory Rate,insp/min,True,
vitals,spo2_first,chartevents,"valuenum, charttime, itemid",220277,O2 saturation pulseoxymetry,%,True,
vitals,spo2_min,chartevents,"valuenum, charttime, itemid",220277,O2 saturation pulseoxymetry,%,True,
vitals,spo2_max,chartevents,"valuenum, charttime, itemid",220277,O2 saturation pulseoxymetry,%,True,
vitals,temperature_first,chartevents,"valuenum, charttime, itemid",223762,Temperature Celsius,°C,True,
vitals,temperature_min,chartevents,"valuenum, charttime, itemid",223762,Temperature Celsius,°C,True,
vitals,temperature_max,chartevents,"valuenum, charttime, itemid",223762,Temperature Celsius,°C,True,
comorbidities,heart_failure,diagnoses_icd,"icd_code, icd_version","('I50', 10)",Heart Failure,,True,
comorbidities,hypertension,diagnoses_icd,"icd_code, icd_version","('I10', 10)",Hypertension,,True,
comorbidities,metastatic_cancer,diagnoses_icd,"icd_code, icd_version","('C79', 10)",Metastatic Cancer,,True,
comorbidities,obesity,diagnoses_icd,"icd_code, icd_version","('E66', 10)",Obesity,,True,
comorbidities,alcohol_abuse,diagnoses_icd,"icd_code, icd_version","('F10', 10)",Alcohol Abuse,,True,
comorbidities,depression,diagnoses_icd,"icd_code, icd_version","('F32', 10)",Depression,,True,
comorbidities,paralysis,diagnoses_icd,"icd_code, icd_version","('G82', 10)",Paralysis,,True,
comorbidities,diabetes,diagnoses_icd,"icd_code, icd_version","('E11', 10)",Diabetes,,True,
comorbidities,weight_loss,diagnoses_icd,"icd_code, icd_version","('R63', 10)",Weight Loss,,True,
comorbidities,drug_abuse,diagnoses_icd,"icd_code, icd_version","('F11', 10)",Drug Abuse,,True,
comorbidities,chronic_kidney_disease,diagnoses_icd,"icd_code, icd_version","('N18', 10)",Chronic Kidney Disease,,True,
comorbidities,chronic_pulmonary_disease,diagnoses_icd,"icd_code, icd_version","('J44', 10)",Chronic Pulmonary Disease,,True,
comorbidities,liver_disease,diagnoses_icd,"icd_code, icd_version","('K74', 10)",Liver Disease,,True,
comorbidities,comorbidity_count,diagnoses_icd,"icd_code, icd_version",documented mapping set,Comorbidity Count,,True,
laboratory_chart,pao2_first,labevents,"valuenum, charttime, itemid",50821,pO2,mmHg,True,
laboratory_chart,pco2_first,labevents,"valuenum, charttime, itemid",50818,pCO2,mmHg,True,
laboratory_chart,pf_ratio_first,labevents/chartevents,"valuenum, itemid",,PaO2/FiO2 ratio,ratio,True,
laboratory_chart,ph_first,labevents,"valuenum, charttime, itemid",50820,pH,units,True,
laboratory_chart,bicarbonate_first,labevents,"valuenum, charttime, itemid",50882,Bicarbonate,mEq/L,True,
laboratory_chart,creatinine_first,labevents,"valuenum, charttime, itemid",50912,Creatinine,mg/dL,True,
laboratory_chart,lactate_first,labevents,"valuenum, charttime, itemid",50813,Lactate,mmol/L,True,
